"Category","Annual Mean","5-yr smooth"
1901,25.9,25.89
1902,25.89,25.72
1903,25.55,25.55
1904,24.93,25.41
1905,25.3,25.3
1906,25.58,25.24
1907,25.25,25.23
1908,25.25,25.26
1909,25.47,25.32
1910,25.26,25.39
1911,25.2,25.45
1912,25.57,25.49
1913,25.35,25.5
1914,25.57,25.49
1915,26,25.46
1916,25.36,25.43
1917,25.11,25.4
1918,24.99,25.38
1919,25.6,25.36
1920,25.54,25.36
1921,25.32,25.36
1922,25.57,25.38
1923,25.23,25.41
1924,25.54,25.45
1925,25.33,25.5
1926,25.52,25.55
1927,25.65,25.59
1928,25.75,25.63
1929,25.33,25.66
1930,25.78,25.68
1931,26.13,25.7
1932,25.58,25.71
1933,25.79,25.73
1934,25.42,25.74
1935,25.71,25.75
1936,25.77,25.76
1937,25.92,25.76
1938,25.77,25.76
1939,25.69,25.75
1940,25.73,25.74
1941,25.85,25.74
1942,25.77,25.73
1943,25.63,25.74
1944,25.7,25.77
1945,25.64,25.79
1946,25.93,25.82
1947,26.18,25.84
1948,25.91,25.84
1949,25.55,25.82
1950,25.57,25.77
1951,25.73,25.72
1952,25.79,25.66
1953,25.77,25.62
1954,25.69,25.6
1955,25.46,25.61
1956,25.42,25.63
1957,25.76,25.66
1958,25.74,25.68
1959,25.71,25.68
1960,25.76,25.66
1961,25.6,25.62
1962,25.5,25.58
1963,25.35,25.55
1964,25.65,25.53
1965,25.47,25.54
1966,25.92,25.57
1967,25.38,25.61
1968,25.55,25.66
1969,25.86,25.69
1970,25.95,25.71
1971,25.31,25.7
1972,25.59,25.69
1973,25.9,25.67
1974,25.68,25.66
1975,25.62,25.66
1976,25.46,25.68
1977,25.83,25.71
1978,25.82,25.75
1979,25.95,25.8
1980,26.01,25.85
1981,25.64,25.9
1982,25.76,25.94
1983,26.15,25.98
1984,25.9,26.02
1985,26.01,26.05
1986,25.91,26.08
1987,26.42,26.1
1988,26.37,26.12
1989,25.92,26.14
1990,26.18,26.15
1991,26.17,26.15
1992,26.01,26.15
1993,26.12,26.14
1994,26.24,26.14
1995,26.11,26.15
1996,25.98,26.16
1997,26.07,26.18
1998,26.75,26.21
1999,26.1,26.23
2000,26.23,26.25
2001,26.28,26.25
2002,26.17,26.24
2003,26.05,26.22
2004,26.14,26.2
2005,26.24,26.17
2006,26.29,26.14
2007,26.29,26.13
2008,25.96,26.12
2009,25.99,26.13
2010,26.27,26.15
2011,26.03,26.19
2012,26.37,26.24
2013,26.37,26.3
2014,26.24,26.38
2015,26.46,26.45
2016,26.79,26.52
2017,26.35,26.57
2018,26.55,26.61
2019,26.62,26.63
2020,26.73,26.65
2021,26.7,26.66
2022,26.61,26.66